Instance,Mean Reward
1110,-177.066667
1111,-578.5
1112,-353.433333
1113,-261.733333
1114,-109.866667
1115,-187.0
1116,-188.566667
1117,-174.233333
1118,-106.166667
1119,-196.7
1120,-115.2
1121,-274.366667
1122,-428.866667
1123,-99.166667
1124,-282.366667
1125,-263.766667
1126,-107.033333
1127,-199.066667
1128,-353.9
1129,-66.966667
1130,-82.3
1131,-281.5
1132,-240.733333
1133,-170.7
1134,-75.0
1135,-235.233333
1136,-141.566667
1137,-128.133333
1138,-229.266667
1139,-178.866667
1140,-467.733333
1141,-175.8
1142,-274.466667
1143,-140.066667
1144,-176.066667
1145,-123.6
1146,-194.9
1147,-86.233333
1148,-154.466667
1149,-288.433333
